Title,Description
National Theatre Live: Angels In America — Part Two: Perestroika,"America in the mid-1980s. In the midst of the AIDS crisis and a conservative Reagan administration, New Yorkers grapple with life and death, love and sex, heaven and hell. This new staging of Tony Kushner's multi-award winning two-part play, Angels In America: A Gay Fantasia On National Themes, is directed by Olivier and Tony award winning director Marianne Elliott."
The Trial,Full coverage of The Trial of Tim Heidecker in which Tim Heidecker stood accused of 20 counts of 2nd degree felony murder against The Electric Sun 20.
Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
Where the Light Is: John Mayer Live in Los Angeles,"On tour promoting his 2006 studio album 'Continuum', American pop rock singer-songwriter and guitarist John Mayer performs, consecutively, an intimate acoustic set, a John Mayer Trio blues show, and a full-band concert at the Nokia Theatre in Los Angeles, California on December 8, 2007."
Incendies,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love."
The Apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve."
Tokyo Story,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company."
Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.
Brass Eye,"Investigative reporter Chris Morris puts modern Britain under the spotlight, and smacks the issues of the day till they bleed. He tackles weighty issues including animals, drugs, sex and skewered celebrities and politicians alike - and in a later episode in 2001, paedophiles."
Shōgun,"In Japan in the year 1600, at the dawn of a century-defining civil war, Lord Yoshii Toranaga is fighting for his life as his enemies on the Council of Regents unite against him, when a mysterious European ship is found marooned in a nearby fishing village."
The Grand Tour: One For The Road,"The trio ignore Mr Wilman’s instructions and head to Zimbabwe in three cars they’ve always wanted to own, a Lancia Montecarlo, a Ford Capri 3-litre, and a Triumph Stag. They embark on a stunning road trip through Zimbabwe’s beautiful and sometimes challenging landscapes leading to an emotional farewell to their lives together."
My Chemical Romance: Life on the Murder Scene,"Life On The Murder Scene offers an in-depth, extensive video diary, featuring band interviews and behind-the-scenes commentary."
Smiling Friends,"A small company dedicated to bringing happiness to the world receives a simple request to help a woman’s unhappy son smile again, but the job turns out to be more complicated than it seems."
Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
The Passion of Joan of Arc,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom."
I Am Cuba,"Four vignettes on the lives of the Cuban people in the pre-revolutionary era. In Havana, Maria is ashamed when a man she loves discovers how she makes a living. Pedro, an old farmer, discovers that the land he cultivates is being sold to an American company. A student sees his friends attacked by the police while they distribute leaflets supporting Fidel Castro. Finally, a peasant family is threatened by Batista's army."
Steins;Gate,"A group of friends have customized their microwave so that it can send text messages to the past. As they perform different experiments, an organization named SERN who has been doing their own research on time travel tracks them down and now the characters have to find a way to avoid being captured by them."
Hannibal: This Is My Design,"An in-depth look at the production of Hannibal season 2, including everything from location shoots to special effects."
The Ascent,"Two Soviet partisans leave their starving band to get supplies from a nearby farm. The Germans have reached the farm first, so the pair must go on a journey deep into occupied territory, a voyage that will also take them deep into their souls."
Six Feet Under: In Memoriam,A eulogy for the groundbreaking HBO series.
Move to Heaven,"Finding life in all that’s left behind, a detail-oriented trauma cleaner and his estranged uncle deliver untold stories of the departed to loved ones."
The Office Retrospective,The cast and crew of the American version of The Office discuss the show and highlights from the previous episodes.
